"id";"current_age";"retirement_age";"birth_year";"birth_month";"gender";"address";"latitude";"longitude";"per_capita_income";"yearly_income";"total_debt";"credit_score";"num_credit_cards"
0;33;69;1986;3;"Male";"858 Plum Avenue";43.59;-70.33;"29237.00";"59613.00";"36199.00";763;4
1;43;74;1976;4;"Female";"113 Burns Lane";30.44;-87.18;"22247.00";"45360.00";"14587.00";704;3
2;48;64;1971;8;"Male";"6035 Forest Avenue";40.84;-73.87;"13461.00";"27447.00";"80850.00";673;5
3;49;65;1970;12;"Male";"840 Elm Avenue";33.89;-98.51;"13705.00";"27943.00";"18693.00";681;4
4;54;72;1965;3;"Female";"6016 Little Creek Boulevard";47.61;-122.3;"37485.00";"76431.00";"115362.00";716;5
5;65;65;1955;2;"Male";"1032 Second Lane";42.95;-77.13;"19095.00";"20614.00";"14042.00";711;2
6;19;63;2000;6;"Female";"534 Second Lane";32.88;-117.13;"27394.00";"55854.00";"111042.00";782;1
7;74;61;1945;5;"Male";"124 Madison Lane";39.3;-76.61;"20919.00";"32682.00";"21379.00";650;3
8;21;69;1998;8;"Male";"41 East Boulevard";27.95;-82.48;"18881.00";"38497.00";"33413.00";699;2
9;29;60;1990;12;"Male";"22 Mill Drive";32.63;-117.05;"20102.00";"40988.00";"89801.00";540;3
10;30;66;1990;2;"Male";"835 George Drive";25.77;-80.2;"28871.00";"58865.00";"94134.00";727;2
11;39;67;1980;10;"Female";"6339 Fourth Street";39.45;-76.81;"33175.00";"67643.00";"0.00";714;6
12;18;63;2002;2;"Female";"345 George Avenue";38.06;-78.9;"18531.00";"37785.00";"58187.00";748;1
13;52;61;1967;6;"Female";"4222 Ocean View Drive";37.89;-85.96;"15879.00";"32378.00";"65919.00";588;4
14;79;57;1940;12;"Female";"2487 Martin Luther King Drive";21.39;-158.01;"21314.00";"32232.00";"21134.00";652;5
15;52;66;1968;2;"Female";"401 Bayview Lane";34.02;-118.31;"14553.00";"29673.00";"12950.00";788;3
16;75;67;1944;12;"Male";"2890 Eighth Lane";41.88;-87.84;"15451.00";"22158.00";"19101.00";681;5
17;76;65;1943;7;"Male";"2012 Forest Avenue";35.73;-81.32;"17850.00";"21867.00";"21103.00";759;2
18;30;62;1989;12;"Male";"9207 Madison Boulevard";39.17;-77.26;"31555.00";"64340.00";"94513.00";637;1
19;82;68;1937;5;"Female";"6577 Catherine Lane";34.41;-119.7;"23071.00";"34903.00";"1336.00";630;1
20;86;67;1933;12;"Female";"3631 Plum Boulevard";32.42;-97.1;"19477.00";"23371.00";"0.00";757;8
21;48;66;1972;2;"Male";"819 Park Boulevard";39.47;-87.38;"21131.00";"43084.00";"0.00";850;3
22;56;66;1963;3;"Male";"5651 North Boulevard";38.99;-76.88;"26467.00";"53966.00";"135478.00";747;1
23;18;70;2001;5;"Female";"9085 West Drive";29.8;-98.73;"31193.00";"63600.00";"102773.00";645;1
24;48;64;1971;11;"Female";"55378 Burns Avenue";42.27;-89.06;"18906.00";"38554.00";"47186.00";708;1
